城市,名称,星级,评分,价格,销量,省/市/区,坐标,简介,是否免费,具体地址
上海,上海迪士尼乐园,,0,325,19459,上海·上海·浦东新区,"121.667917,31.149712",每个女孩都有一场迪士尼梦,FALSE,上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园
上海,上海海昌海洋公园,4A,0,276.5,19406,上海·上海·浦东新区,"121.915647,30.917713",看珍稀海洋生物 | 玩超刺激娱乐项目,FALSE,上海市浦东新区南汇城银飞路166号
上海,上海野生动物园,5A,3.6,116,6764,上海·上海·浦东新区,"121.728112,31.059636",全球动物聚集地 | 零距离和动物做朋友,FALSE,上海市浦东新区南六公路178号
上海,东方绿舟,4A,3.5,40,5353,上海·上海·青浦区,"121.015977,31.107866",全国首屈一指的青少年校外教育营地,FALSE,上海市青浦区沪青平公路6888号
上海,东方明珠,5A,3.8,54,3966,上海·上海·浦东新区,"121.50626,31.245369",感受云端漫步，品味老上海风情,FALSE,上海市浦东新区世纪大道1号
上海,上海自然博物馆,,3.5,32.4,3237,上海·上海·静安区,"121.469083,31.241294",在这里领略物种的变迁,FALSE,上海市静安区石门二路128号静安雕塑公园内
上海,上海佛罗伦萨小镇,3A,0,6.6,2682,上海·上海·浦东新区,"121.770767,31.202718",2015年1月开业，落户上海浦东，成为上海及周边江浙地区时尚爱好者的钟爱去处。上海佛罗伦萨小镇引进了超百家环球名品，包括,FALSE,上海市浦东新区卓耀路58弄 （近地铁2号线远东大道站）
上海,上海科技馆,5A,3.7,45,2120,上海·上海·浦东新区,"121.54785,31.224219",魔都科普教育殿堂 | 周末遛娃圣地,FALSE,上海市浦东新区世纪大道2000号(近二号线上海科技馆站)
上海,豫园,4A,4.2,40,2103,上海·上海·黄浦区,"121.498971,31.233463",“奇秀甲于东南”、“东南名园冠”。,FALSE,上海市黄浦区福佑路168号
上海,上海动物园,4A,3.6,39.6,1718,上海·上海·长宁区,"121.369411,31.199264",大型城市动物园 | 620余种可爱动物,FALSE,上海市长宁区虹桥路2381号
上海,辰山植物园,,0,60,1654,上海·上海·佘山国家旅游度假区,"121.188507,31.080816",上海网红野餐地 | “莫奈花园”四季皆美,FALSE,上海市松江区辰花公路3888号
上海,黄浦江游览（十六铺码头）,,0,90,1576,上海·上海·黄浦区,"121.503083,31.234893",夜游黄浦江，霓虹交错，赏魔都繁华景象,FALSE,上海市黄浦区中山东二路481号B1层（十六铺码头一区）
上海,上海中心大厦上海之巅观光厅,,0,153,1212,上海·上海·浦东新区,"121.512867,31.239758",超高层地标式摩天大楼,FALSE,上海市浦东新区陆家嘴环路479号（近东泰路）
上海,东平国家森林公园,4A,3.5,54.7,836,上海·上海·崇明岛,"121.487554,31.689225",在这里，你只需要深呼吸,FALSE,上海市崇明县北沿路2188号
上海,上海影视乐园,4A,3.5,70,830,上海·上海·松江区,"121.319396,31.016693",中国十大影视基地之一 | 重回民国上海滩,FALSE,上海市松江区车墩镇北松公路4915号
上海,外滩,,5,40,762,上海·上海·黄浦区,"121.497854,31.240722",感受上海十里洋场的风景,FALSE,上海市黄浦区中山东一路（北至外白渡桥、南至十六铺码头）
上海,上海欢乐谷,4A,3.6,228.9,750,上海·上海·松江区,"121.22218,31.102491",玩得就是心跳 | 各种刺激好玩娱乐项目,FALSE,上海市松江区佘山镇林湖路888号
上海,上海杜莎夫人蜡像馆,4A,3.7,99,718,上海·上海·黄浦区,"121.480215,31.240715",走自己的红毯，与世界明星相遇,FALSE,上海市黄浦区南京西路2-68号新世界商厦10楼
上海,迪士尼小镇,,0,393.4,680,上海·上海·浦东新区,"121.668347,31.14594",迪士尼大型购物餐饮娱乐区,FALSE,上海市浦东新区迪士尼小镇申迪西路255弄
上海,上海海洋水族馆,4A,3.7,154,676,上海·上海·浦东新区,"121.50818,31.246234",穿越世界，来一次终生难忘的海洋之旅,FALSE,上海市浦东新区陆家嘴环路1388号（近东方明珠）
上海,浦江郊野公园奇迹花园,,0,48.9,652,上海·上海·闵行区,"121.509672,31.060409",200万株奇花异卉 | 童话世界花海野餐,FALSE,上海市闵行区浦星公路2578弄8号
上海,广富林文化遗址,,0,36.8,628,上海·上海·松江区,"121.20174,31.063886",松江绝美“小故宫” | 探秘水下博物馆,FALSE,上海市松江区广富林路3260弄
上海,陆家嘴,,0,56,378,上海·上海·浦东新区,"121.513278,31.248139",上海金融中心区，感受高大上的金融世界,FALSE,上海市浦东新区西北部
上海,浦江郊野公园,,0,48.9,356,上海·上海·闵行区,"121.515951,31.061035","浦江郊野公园位于上海闵行区浦星公路(大治河北侧)，是一个“以森林游憩、滨水休闲为主要功能的近郊都市森林型郊野公园”。
公",FALSE,上海市闵行区浦星公路2578弄8号
上海,豪华浦江游船（东方明珠码头）,,0,70,334,上海·上海·浦东新区,"121.503369,31.246365",在此处可将浦江两岸每一道风景线尽收眼底,FALSE,上海市浦东新区滨江大道2852号靠近丰和路口东方明珠游船码头
上海,金茂大厦88层观光厅,4A,3.8,56,332,上海·上海·浦东新区,"121.512094,31.240746",上海就在脚下,FALSE,上海市浦东新区浦东世纪大道88号观光厅
上海,顾村公园,4A,0,48,322,上海·上海·宝山区,"121.384711,31.346641",岛国很远，顾村很近 | 郊游赏樱宝藏公园,FALSE,上海市宝山区顾村镇沪太路4788号环岛路1号（近沪太路）
上海,共青森林公园,4A,3.6,15,264,上海·上海·杨浦区,"121.558078,31.326546",在这里尽情领略大自然的情趣,FALSE,上海市杨浦区军工路2000号
上海,上海周浦花海,,0,54.7,256,上海·上海·浦东新区,"121.65535,31.118973",一年四季鲜花不断，汇成令人迷醉的花海,FALSE,上海市浦东新区周浦镇周邓公路申江路界浜村406号
上海,环球金融中心观光厅,4A,3.6,110,252,上海·上海·浦东新区,"121.513463,31.23965",来上海登三高，眺望魔都霓虹闪烁,FALSE,上海市浦东新区世纪大道100号
上海,上海世纪公园,4A,3.6,12.9,232,上海·上海·浦东新区,"121.558497,31.221764",环境“很嗲”，空气“清新”,FALSE,上海市浦东新区浦东锦绣路1001号
上海,上海汽车博物馆,,3.5,30,218,上海·上海·嘉定区,"121.176622,31.284864",汽车世界，等你来探索,FALSE,上海市嘉定区安亭博园路7565号
上海,创极速光轮,,0,319,216,上海·上海·上海迪士尼乐园,"121.667917,31.149712","可领取快速通行证。驾驶急速光轮,体验全球迪士尼乐园中速度最快的项目之在虚拟世界与生命赛跑,感受惊心动魄的急速飞驰吧。极速",FALSE,上海市浦东新区川沙镇迪士尼度假区明日世界内
